id,department,title,instructor,url,level,projects (no examples),image galleries,selected lecture notes,projects and examples,assignments (no solutions),selected video lectures,faculty introduction - video,class competition - video,assignments and solutions,exams and solutions,lecture notes,exams (no solutions),instructor insights,this course at mit,online textbooks,video lectures,demonstration - video,guest lecture - video,subtitles/transcript,images on flickr,special feature - video,field trip - video,tutorial - video,course publicity,recitation videos,audio lectures,selected audio lectures,guest lecture - audio,demonstration - audio,workshop video,special feature - audio,music - audio
17.547_3fe,Political Science,Government and Politics of China,Prof. Edward Steinfeld,"<a href=""http://ocw.mit.edu/courses/political-science/17-547-government-and-politics-of-china-fall-2002"">Course Page</a>",Undergraduate,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.55J_3e,Political Science,Introduction to Latin American Studies (Fall 2006),Prof. Chappell Lawson,"<a href=""http://ocw.mit.edu/courses/political-science/17-55j-introduction-to-latin-american-studies-fall-2006"">Course Page</a>",Undergraduate,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
17.565_31a,Political Science,"Israel: History, Politics, Culture, and Identity",Dr. Ehud Eiran,"<a href=""http://ocw.mit.edu/courses/political-science/17-565-israel-history-politics-culture-and-identity-spring-2011"">Course Page</a>",Undergraduate,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.57J_359,Political Science,"Soviet Politics and Society, 1917-1991",Prof. David WoodruffProf. Elizabeth A. Wood,"<a href=""http://ocw.mit.edu/courses/political-science/17-57j-soviet-politics-and-society-1917-1991-spring-2003"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.581_146,Political Science,"Riots, Rebellions, Revolutions",Prof. Roger Petersen,"<a href=""http://ocw.mit.edu/courses/political-science/17-581-riots-rebellions-revolutions-spring-2013"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.871_3dc,Political Science,Political Science Laboratory,"Prof. Charles Stewart, III","<a href=""http://ocw.mit.edu/courses/political-science/17-871-political-science-laboratory-spring-2012"">Course Page</a>",Undergraduate,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.881_32f,Political Science,Game Theory and Political Theory,Prof. James Snyder,"<a href=""http://ocw.mit.edu/courses/political-science/17-881-game-theory-and-political-theory-fall-2004"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.906_262,Political Science,Reading Seminar in Social Science: The Geopolitics and Geoeconomics of Global Energy,Prof. Flynt Leverett Paul Staniland,"<a href=""http://ocw.mit.edu/courses/political-science/17-906-reading-seminar-in-social-science-the-geopolitics-and-geoeconomics-of-global-energy-spring-2007"">Course Page</a>",Undergraduate,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.908_1fd,Political Science,Reading Seminar in Social Science: Intelligence and National Security,Prof. Robert Vickers,"<a href=""http://ocw.mit.edu/courses/political-science/17-908-reading-seminar-in-social-science-intelligence-and-national-security-fall-2005"">Course Page</a>",Undergraduate,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.918_30a,Political Science,New Global Agenda: Exploring 21st Century Challenges through Innovations in Information Technologies,Prof. Nazli Choucri,"<a href=""http://ocw.mit.edu/courses/political-science/17-918-new-global-agenda-exploring-21st-century-challenges-through-innovations-in-information-technologies-january-iap-2006"">Course Page</a>",Undergraduate,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.S914_3c9,Political Science,"Conversations You Can't Have on Campus: Race, Ethnicity, Gender and Identity",Tobie Weiner,"<a href=""http://ocw.mit.edu/courses/political-science/17-s914-conversations-you-cant-have-on-campus-race-ethnicity-gender-and-identity-spring-2012"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.006_343,Womens And Gender Studies,Feminist Thought (Fall 2014),Prof. Sally Haslanger,"<a href=""http://ocw.mit.edu/courses/womens-and-gender-studies/wgs-301j-feminist-thought-fall-2014"">Course Page</a>",Graduate,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.100J_258,Political Science,Political Economy I,Prof. Suzanne BergerProf. Michael Piore,"<a href=""http://ocw.mit.edu/courses/political-science/17-100j-political-economy-i-fall-2010"">Course Page</a>",Graduate,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17.202_121,Political Science,Graduate Seminar in American Politics II,"Prof. Charles Stewart, III","<a href=""http://ocw.mit.edu/courses/political-science/17-202-graduate-seminar-in-american-politics-ii-spring-2010"">Course Page</a>",Graduate,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
